merged_id,normalized_key,cn-app-dictionary.csv_syllabary,english,learning-to-use-the-cherokee-verb.csv_syllabary,number,object,person,sources,tense
27363a36c4b1042a,2p|3p|present,,"You (more than two) are talking to, or with, them | You (more than two) are talking to, or with, those things","ᏕᏣᎵᏃᎮᏗᎭ [You (more than two) are talking to, or with, them] | ᏕᎭᎵᏃᎮᏗᎭ [You (more than two) are talking to, or with, those things]",,3p,2p,learning-to-use-the-cherokee-verb.csv,present
27363a36c4b1042a,2s|3p|present,,"You (singular) are talking to, or with, them | You (singular) are talking to, or with, those (things)","ᎦᎯᏯᎵᏃᎮᏗᎭ [You (singular) are talking to, or with, them] | ᏕᎭᎵᏃᎮᏗᎭ [You (singular) are talking to, or with, those (things)]",,3p,2s,learning-to-use-the-cherokee-verb.csv,present
44d70de80c0261b0,3s|none|present,Ꮲ [somewhere] | ᎢᎸᏢᎢ [somewhere],somewhere,,,none,3s,cn-app-dictionary.csv,present
3c8aea710333f340,noun|plural animate|,"ᏣᏁᏆ [huge ones, large ones, giant ones] | ᏤᏆ [huge ones, large ones, giant ones]","huge ones, large ones, giant ones",,plural animate,,,cn-app-dictionary.csv,
ca57e669f1a9744d,noun|plural animate|,ᎦᏙ ᏧᏍᏗ [which] | ᎦᏙ ᎤᎾᏍᏗ [which],which,,plural animate,,,cn-app-dictionary.csv,
337dcae172ab228b,1s|3s|present,"ᏥᏍᏛᎥᏍᎦ [I’m hanging it up, refers to a flexible object] | ᎦᏛᎥᏍᎦ [I’m hanging it up, refers to a flexible object]","I’m hanging it up, refers to a flexible object",,,3s,1s,cn-app-dictionary.csv,present
e762d3fe17e8f138,noun|plural animate|,ᏗᏂᎨᏓ [heavy] | ᏗᎦᎨᏓ [heavy],heavy,,plural animate,,,cn-app-dictionary.csv,
117e844f9ca26069,1s|3s|present,ᏥᏯᎸᎢᎭ [I’m tying him/her up] | ᎦᎸᎢᎭ [I’m tying it up],I’m tying him/her up | I’m tying it up,,,3s,1s,cn-app-dictionary.csv,present
b63dcd9e309df2cc,1s|3s|present,"ᏥᏰᎠ [he/she is eating it, refers to a flexible object] | ᎯᏯᎦ [eat it, refers to a flexible object‚]","he/she is eating it, refers to a flexible object | eat it, refers to a flexible object‚",,,3s,1s,cn-app-dictionary.csv,present
8f3450f09a7239ae,noun|unknown|,ᎪᎱᏍᏗ [something] | ᎪᏍᏗ [something],something,,unknown,,,cn-app-dictionary.csv,
c9abdf8ff32b1e1d,noun|plural|,ᎠᏂᎪᎢᎭᎢ [greasy] | ᏗᎪᎢᎭᎢ [greasy],greasy,,plural,,,cn-app-dictionary.csv,
3ddff83a64bbac92,noun|plural|,ᎠᏂᎬᎿᎨᎢ [black] | ᏗᎬᎿᎨᎢ [black],black,,plural,,,cn-app-dictionary.csv,
eeca3dc45019a57c,1d-ex|3p|present,,We (another and I) are hitting them | We (another and I) are hitting those (things),ᎪᏍᏛᏂᎭ [We (another and I) are hitting them] | ᏙᏍᏛᏂᎭ [We (another and I) are hitting those (things)],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
eeca3dc45019a57c,1d-in|3p|present,,We (you and I) are hitting them | We (you and I) are hitting those things,ᎨᏅᏂᎭ [We (you and I) are hitting them] | ᏕᏅᏂᎭ [We (you and I) are hitting those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
eeca3dc45019a57c,1p-ex|3p|present,,We (others and I) are hitting them | We (others and I) are hitting those (things),ᏕᎪᏨᏂᎭ [We (others and I) are hitting them] | ᏙᏨᏂᎭ [We (others and I) are hitting those (things)],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
eeca3dc45019a57c,1p-in|3p|present,,We (you and I and another or others) are hitting them | We (you and I and another or others) are hitting those (things),ᎨᏛᏂᎭ [We (you and I and another or others) are hitting them] | ᏕᏛᏂᎭ [We (you and I and another or others) are hitting those (things)],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
eeca3dc45019a57c,1s|3p|present,,I am hitting them | I am hitting those things,ᏕᎦᏥᏴᏂᎭ [I am hitting them] | ᏕᎬᏂᎭ [I am hitting those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
eeca3dc45019a57c,2d|3p|present,,You (two) are hitting them | You (two) are hitting those (things),ᎨᏍᏛᏂᎭ [You (two) are hitting them] | ᏕᏍᏛᏂᎭ [You (two) are hitting those (things)],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
eeca3dc45019a57c,2p|3p|present,,You (more than two) are hitting them | You (more than two) are hitting those things,ᎨᏨᏂᎭ [You (more than two) are hitting them] | ᏕᏨᏂᎭ [You (more than two) are hitting those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
eeca3dc45019a57c,2s|3p|present,,You (singular) are hitting them | You (singular) are hitting those (things),ᏕᎦᎯᏴᏂᎭ [You (singular) are hitting them] | ᏕᎲᏂᎭ [You (singular) are hitting those (things)],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,3s|3s|present,"ᎬᏍᎦᎸᏍᎦ [he/she is hiding him/her, he/she is hiding it, refers to a flexible object]","he/she is hiding him/her, he/she is hiding it, refers to a flexible object | S/he is hiding it",ᎬᏍᎦᏢᏍᎦ [S/he is hiding it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,1s|3a|present,"ᏥᏴᏍᎦᎸᏍᎦ [I’m hiding him/her, refers to a flexible object.]","I’m hiding him/her, refers to a flexible object. | I am hiding him/her",ᏥᏴᏍᎦᎸᎥᏍᎦ [I am hiding him/her],,3a,1s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,1s|3s|present,"ᎬᏍᎦᎸᏍᎦ [I’m hiding it, refers to a flexible object]","I’m hiding it, refers to a flexible object | I am hiding it",ᎬᏍᎦᏢᏍᎦ [I am hiding it],,3s,1s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,3s|3s|completive past,"ᎤᏩᏍᎦᎸᏅᎢ [he/she hid him/her, he/she hid it, refers to a flexible object]","he/she hid him/her, he/she hid it, refers to a flexible object | He/she hid it",ᎤᏩᏍᎦᏢᏅᎢ [He/she hid it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,completive past
e8ac932ab9cde7ba,3s|3s|habitual,"ᎬᏍᎦᎸᏍᎪᎢ [he/she hides him/her, he/she hides it, refers to a flexible object]","he/she hides him/her, he/she hides it, refers to a flexible object | He/she hides it (habitually)",ᎬᏍᎦᏢᏍᎪᎢ [He/she hides it (habitually)],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,habitual
e8ac932ab9cde7ba,2s|3s|imperative,"ᎲᏍᎦᎸᎥᎦ [hide it!, refers to a flexible object]","hide it!, refers to a flexible object | You (singular) hide it right now!",ᎲᏍᎦᏢᎦ [You (singular) hide it right now!],,3s,2s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,imperative
e8ac932ab9cde7ba,1d-ex|3p|present,,We (another and I) are hiding them | We (another and I) are hiding those (things),ᏙᏨᏍᎦᎸᎥᏍᎦ [We (another and I) are hiding them] | ᏙᏍᏛᏍᎦᏢᏍᎦ [We (another and I) are hiding those (things)],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,1d-in|3p|present,,We (you and I) are hiding them | We (you and I) are hiding those things,ᎨᏅᏍᎦᎸᎥᏍᎦ [We (you and I) are hiding them] | ᏕᏅᏍᎦᏢᏍᎦ [We (you and I) are hiding those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,1p-ex|3p|present,,We (others and I) are hiding them | We (others and I) are hiding those (things),ᏙᏨᏍᎦᎸᎥᏍᎦ [We (others and I) are hiding them] | ᏙᏨᏍᎦᏢᏍᎦ [We (others and I) are hiding those (things)],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,1p-in|3p|present,,We (you and I and another or others) are hiding them | We (you and I and another or others) are hiding those (things),ᏕᏛᏍᎦᎸᎥᏍᎦ [We (you and I and another or others) are hiding them] | ᏕᏛᏍᎦᏢᏍᎦ [We (you and I and another or others) are hiding those (things)],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,1s|3p|present,,I am hiding them | I am hiding those things,ᎦᏥᏴᏍᎦᎸᎥᏍᎦ [I am hiding them] | ᏕᎬᏍᎦᏢᏍᎦ [I am hiding those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,2d|3p|present,,You (two) are hiding them | You (two) are hiding those (things),ᏕᏍᏛᏍᎦᎸᎥᏍᎦ [You (two) are hiding them] | ᏕᏍᏛᏍᎦᏢᏍᎦ [You (two) are hiding those (things)],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,2p|3p|present,,You (more than two) are hiding them | You (more than two) are hiding those things,ᏕᏨᏍᎦᎸᎥᏍᎦ [You (more than two) are hiding them] | ᏕᏨᏍᎦᏢᏍᎦ [You (more than two) are hiding those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,2s|3p|present,,You (singular) are hiding them | You (singular) are hiding those (things),ᎦᎯᏴᏍᎦᎸᎥᏍᎦ [You (singular) are hiding them] | ᏕᎲᏍᎦᏢᏍᎦ [You (singular) are hiding those (things)],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,3p|3p|present,,They are hiding them | They are hiding those things,ᏓᏅᏍᎦᎸᎥᏍᎦ [They are hiding them] | ᏓᏅᏍᎦᏢᏍᎦ [They are hiding those things],,3p,3p,learning-to-use-the-cherokee-verb.csv,present
e8ac932ab9cde7ba,3s|3p|present,,S/he is hiding them | S/he is hiding those things,ᏕᎬᏍᎦᎸᎥᏍᎦ [S/he is hiding them] | ᏕᎬᏍᎦᏢᏍᎦ [S/he is hiding those things],,3p,3s,learning-to-use-the-cherokee-verb.csv,present
2a3085b50bff8e89,3s|none|present,ᎮᏍᏗ [don’t] | ᏞᏍᏗ [don’t],don’t,,,none,3s,cn-app-dictionary.csv,present
fa0ce3057587ab89,noun|plural|,"ᎠᏂᏝᏬᏚᎭᎢ [muddy, with animate object] | ᏗᏝᏬᏚᎭᎢ [muddy, with inanimate object]","muddy, with animate object | muddy, with inanimate object",,plural,,,cn-app-dictionary.csv,
ba99386eeb496181,noun|plural|,ᏗᏯᏖᎾ [boards] | ᏧᏯᏖᎾ [boards],boards,,plural,,,cn-app-dictionary.csv,
e47ada6d39b8fe4e,variant||,ᎤᎷᏨᎢ [he/she returned] | ᎤᎷᎯᏍᏗ [to return],he/she returned | to return,,,,variant,cn-app-dictionary.csv,
ec3035e9bac06414,noun|plural animate|,ᎢᏗᎾᏘ [heights] | ᎢᏗᎦᏘ [heights],heights,,plural animate,,,cn-app-dictionary.csv,
c807233822c41717,noun|singular|,ᏣᎳᎩ [Cherokee] | ᎠᏣᎳᎩ [Cherokee],Cherokee,,singular,,,cn-app-dictionary.csv,
6eccbd8c88c3699c,noun|plural|,"ᎠᎪᏕᏍᎩ [Spade, refers to a family name] | ᎠᏂᎪᏕᏍᎩ [Spades, refers to a family name]","Spade, refers to a family name | Spades, refers to a family name",,plural,,,cn-app-dictionary.csv,
7a4b04a7a7b603e4,noun|plural animate|,ᎠᏂᎪᏍᏚᎭᎢ [dusty ones] | ᏗᎪᏍᏚᎭᎢ [dusty ones],dusty ones,,plural animate,,,cn-app-dictionary.csv,
e067981b0e0bda52,3s|none|present,ᏂᎪᎯᎸᎢ [always] | ᏂᎪᎸ [always],always,,,none,3s,cn-app-dictionary.csv,present
2ef73c02bcb63e03,3s|none|present,ᎣᏏᏲ [hello] | ᏏᏲ [hello],hello,,,none,3s,cn-app-dictionary.csv,present
48ed9e6b8e918fdf,3s|none|present,ᏍᎩᏛ [yes‚ that’s it] | ᎥᏍᎩᏛ [yes‚ that’s it],yes‚ that’s it,,,none,3s,cn-app-dictionary.csv,present
10b7757e36f1e829,variant||,ᏍᏆᏞᏍᏗ [ball] | ᏗᏆᏞᏍᏗ [balls],ball | balls,,,,variant,cn-app-dictionary.csv,
c2606efc4afff4eb,3s|none|present,ᏍᏇ [also] | ᎥᏍᏇ [also],also,,,none,3s,cn-app-dictionary.csv,present
fb207539d63219c3,3s|none|present,ᏑᎾᎴᎢ [tomorrow] | ᏏᎾᎴᎢ [tomorrow],tomorrow,,,none,3s,cn-app-dictionary.csv,present
931b62dc46e5ba07,1d-ex|3p|present,,We (another and I) love them | We (another and I) love those things,ᏙᏍᏗᎨᏳᎭ [We (another and I) love them] | ᏙᎩᏂᎨᏳᎭ [We (another and I) love those things],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
931b62dc46e5ba07,1p-ex|3p|present,,We (others and I) love them | We (others and I) love those things,ᏙᏍᏗᎨᏳᎭ [We (others and I) love them] | ᏙᎩᎨᏳᎭ [We (others and I) love those things],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
931b62dc46e5ba07,1p-in|3p|present,,We (you and I and another or others) love them | We (you and I and another or others love those things,ᏕᏗᎨᏳᎭ [We (you and I and another or others) love them] | ᏙᎩᎨᏳᎭ [We (you and I and another or others love those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
931b62dc46e5ba07,1s|3p|present,,I love them | I love those things,ᎦᏥᎨᏳᎠ [I love them] | ᏓᎩᎨᏳᎭ [I love those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
931b62dc46e5ba07,2d|3p|present,,You two love them | You two love those things,ᎨᏍᏗᎨᏳᎠ [You two love them] | ᏕᏍᏗᎨᏳᎭ [You two love those things],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
931b62dc46e5ba07,2p|3p|present,,You (more than two) love them | You (more than two) love those things,ᏕᏍᏗᎨᏳᎭ [You (more than two) love them] | ᏕᏥᎨᏳᎭ [You (more than two) love those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
931b62dc46e5ba07,2s|3p|present,,You love them | You love those things,ᎦᎯᎨᏳᎠ [You love them] | ᏕᏣᎨᏳᎭ [You love those things],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
ed9e1ed988c87268,noun|plural animate|,ᏧᎾᏓᏅᎦᎸᏓ [clean] | ᏧᏓᏅᎦᎸᏓ [clean],clean,,plural animate,,,cn-app-dictionary.csv,
14695385d0c1d96e,3s|none|present,ᎤᏓᏩᏗᏍᎬᎢ [in a shade] | ᏚᏓᏩᏗᏍᎬᎢ [in a shade],in a shade,,,none,3s,cn-app-dictionary.csv,present
624aae1020dd3dbd,3s|3s|completive past,ᎤᏚᎸᎲᎢ [he/she wanted it],he/she wanted it | S/he wanted it,ᎤᏚᎵᎲᎢ [S/he wanted it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,completive past
624aae1020dd3dbd,3s|3s|habitual,ᎤᏚᎵᏍᎪᎢ [he/she usually wants it],he/she usually wants it | S/he wants it (habitually),ᎤᏚᎵᎰᎢ [S/he wants it (habitually)],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,habitual
624aae1020dd3dbd,2s|3s|imperative,ᏣᏚᎳ [want it !],want it ! | You (singular) want it right now!,ᏫᏣᏚᎳ [You (singular) want it right now!],,3s,2s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,imperative
624aae1020dd3dbd,1d-ex|3p|present,,We (another and I) want them | We (another and I) want those (things),ᏙᏍᏓᏚᎵᎭ [We (another and I) want them] | ᏙᎩᎾᏚᎵᎭ [We (another and I) want those (things)],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,1d-in|3p|present,,We (you and I) want them | We (you and I) want those things,ᏕᎨᎾᏚᎵᎭ [We (you and I) want them] | ᏕᎩᎾᏚᎵᎭ [We (you and I) want those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,1p-ex|3p|present,,We (others and I) want them | We (others and I) want those (things),ᏙᏣᏚᎵᎠ [We (others and I) want them] | ᏙᎦᏚᎵᎭ [We (others and I) want those (things)],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,1p-in|3p|present,,We (you and I and other or others) want them | We (you and I and other or others) want those (things),ᎨᏓᏚᎵᎠ [We (you and I and other or others) want them] | ᏕᎦᏚᎵᎭ [We (you and I and other or others) want those (things)],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,1s|3p|present,,I want them | I want those things,ᎦᏥᏯᏚᎵᎠ [I want them] | ᏓᏆᏚᎵᎭ [I want those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,2d|3p|present,,You (two) want them | You (two) want those (things),ᎦᎯᏯᏚᎵᎠ [You (two) want them] | ᏕᏍᏓᏚᎵᎭ [You (two) want those (things)],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,2p|3p|present,,You (more than two) want them | You (more than two) want those things,ᎦᎯᏯᏚᎵᎠ [You (more than two) want them] | ᏕᏣᏚᎵᎭ [You (more than two) want those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,2s|3p|present,,You (singular) want them | You (singular) want those (things),ᎦᎯᏯᏚᎵᎠ [You (singular) want them] | ᏕᏣᏚᎵᎭ [You (singular) want those (things)],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,3p|3p|present,,They want them | They want those things,ᏓᎾᏚᎵᎭ [They want them] | ᏚᎾᏚᎵᎭ [They want those things],,3p,3p,learning-to-use-the-cherokee-verb.csv,present
624aae1020dd3dbd,3s|3p|present,,S/he wants them | S/he wants those things,ᏓᏚᎵᎭ [S/he wants them] | ᏚᏚᎵᎭ [S/he wants those things],,3p,3s,learning-to-use-the-cherokee-verb.csv,present
2eb37f86ed5707f2,1s|none|present,ᎠᎩᎯᏐᏓᏁᎭ [I’m lonesome] | ᎠᎩᏐᏓᏁᎭ [I’m lonesome],I’m lonesome,,,none,1s,cn-app-dictionary.csv | hierarchical-dict.json,present
6e49ecb8a8a026ce,3s|none|present,ᎤᏠᏱ [same kind of] | ᎤᏂᏠᏱ [same kind of],same kind of,,,none,3s,cn-app-dictionary.csv,present
6782cab5397f887e,noun|plural animate|,ᎤᎾᏦᏍᏗ [confusing ones] | ᏧᏦᏍᏗ [confusing ones],confusing ones,,plural animate,,,cn-app-dictionary.csv,
6d8060554690814b,noun|plural animate|,ᎤᏂᎧᏲᏓ [dry ones] | ᏧᎧᏲᏓ [dry ones],dry ones,,plural animate,,,cn-app-dictionary.csv,
d67172d399d59160,3s|3s|completive past,ᎤᎦᏎᏍᏛᎢ [he/she watched him/her],he/she watched him/her | He/she was looking at it,ᎤᎦᏎᏍᏔᏅᎢ [He/she was looking at it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,completive past
d67172d399d59160,3s|3s|habitual,ᎤᎦᏎᏍᏙᎢ [he/she watches him/her],he/she watches him/her | He/she watchs it (habitually),ᎠᎦᏎᏍᏗᏍᎪᎢ [He/she watchs it (habitually)],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,habitual
d67172d399d59160,2s|3s|imperative,ᏣᎦᏎᏍᏕᏍᏗ [watch him/her!],"watch him/her! | You (singular), watch it right now!","ᎭᎦᏎᏍᏓ [You (singular), watch it right now!]",,3s,2s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,imperative
d67172d399d59160,1d-ex|3p|present,,We (another and I) are watching them | We (another and I) are watching those things,ᏙᏍᏓᎦᏎᏍᏗ [We (another and I) are watching them] | ᏙᎦᎦᏎᏍᏗ [We (another and I) are watching those things],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,1d-in|3p|present,,We (you and I) are watching them | We (you and I) are watching those things,ᎨᎾᎦᏎᏍᏗ [We (you and I) are watching them] | ᏕᎾᎦᏎᏍᏗ [We (you and I) are watching those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,1p-ex|3p|present,,We (others and I) are watching them | We (others and I) are watching those things,ᎪᏣᎦᏎᏍᏗ [We (others and I) are watching them] | ᏙᏣᎦᏎᏍᏗ [We (others and I) are watching those things],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,1p-in|3p|present,,We (others and I) are watching them | We (others and I) are watching those things,ᎨᏓᎦᏎᏍᏗ [We (others and I) are watching them] | ᏕᏓᎦᏎᏍᏗ [We (others and I) are watching those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,1s|3p|present,,I am watching them | I am watching those things,ᎦᏥᏯᎦᏎᏍᏗ [I am watching them] | ᏓᏆᎦᏎᏍᏗ [I am watching those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,2d|3p|present,,You (two) are watching them | You (two) are watching those things,ᎨᏍᏓᎦᏎᏍᏗ [You (two) are watching them] | ᏕᏍᏓᎦᏎᏍᏗ [You (two) are watching those things],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,2p|3p|present,,You (more than two) are watching them | You (more than two) are watching those things,ᎨᏣᎦᏎᏍᏗ [You (more than two) are watching them] | ᏕᏣᎦᏎᏍᏗ [You (more than two) are watching those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,2s|3p|present,,You (singular) are watching them | You (singular) are watching those things,ᎦᎯᏯᎦᏎᏍᏗ [You (singular) are watching them] | ᏕᎭᎦᏎᏍᏗ [You (singular) are watching those things],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,3p|3p|present,,They are watching them | They are watching those things,ᏓᎾᎦᏎᏍᏗ [They are watching them] | ᏚᎾᎦᏎᏍᏗ [They are watching those things],,3p,3p,learning-to-use-the-cherokee-verb.csv,present
d67172d399d59160,3s|3p|present,,He/she is watching them | He/she is watching those things,ᏓᎦᏎᏍᏗ [He/she is watching them] | ᏚᎾᎦᏎᏍᏗ [He/she is watching those things],,3p,3s,learning-to-use-the-cherokee-verb.csv,present
8ef6233bf29fd90b,noun|plural animate|,ᎤᎾᎵᏍᎨᏓ [important] | ᏧᎵᏍᎨᏓ [important],important,,plural animate,,,cn-app-dictionary.csv,
75fab38f1277ccbf,noun|plural animate|,ᎤᎾᎵᏏᎩ [dark ones] | ᏧᎵᏏᎩ [dark ones],dark ones,,plural animate,,,cn-app-dictionary.csv,
02a1ecdc2fdea37a,noun|plural animate|,ᎤᎾᎵᏑᏫᏓ [colored ones] | ᏧᎵᏑᏫᏓ [colored ones],colored ones,,plural animate,,,cn-app-dictionary.csv,
0bc18df2c8686866,1d-ex|3p|present,,We (another and I) like them | We (another and I) like those things,ᏙᏍᏗᎸᏉᏗ [We (another and I) like them] | ᏙᎩᏂᎸᏉᏗ [We (another and I) like those things],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
0bc18df2c8686866,1d-in|3p|present,,We (you and I) like them | We (you and I) like those things,ᏕᎨᏂᎸᏉᏗ [We (you and I) like them] | ᏕᎩᏂᎸᏉᏗ [We (you and I) like those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
0bc18df2c8686866,1p-ex|3p|present,,We (others and I) like them | We (others and I) like those things,ᏙᏥᎸᏉᏗ [We (others and I) like them] | ᏙᎩᎸᏉᏗ [We (others and I) like those things],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
0bc18df2c8686866,1p-in|3p|present,,We (you and I and another or others) like them | We (you and I and another or others) like those things,ᏕᏗᎸᏉᏗ [We (you and I and another or others) like them] | ᏕᎩᎸᏉᏗ [We (you and I and another or others) like those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
0bc18df2c8686866,1s|3p|present,,I like them | I like those things,ᎦᏥᎸᏉᏗ [I like them] | ᏓᎩᎸᏉᏗ [I like those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
0bc18df2c8686866,2s|3p|present,,You (singular) like them | You (singular) like those things,ᎦᎯᎸᏉᏗ [You (singular) like them] | ᏕᏣᎸᏉᏗ [You (singular) like those things],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
0bc18df2c8686866,3p|3p|present,,They like them | They like those things,ᏚᏂᎸᏉᏗ [They like them] | ᏕᎨᏥᎸᏉᏗ [They like them] | ᏚᏂᎸᏉᏗ [They like those things],,3p,3p,learning-to-use-the-cherokee-verb.csv,present
caff36fb1de2d533,noun|plural animate|,ᎤᏂᏁᎦ [white ones] | ᏧᏁᎦ [white ones],white ones,,plural animate,,,cn-app-dictionary.csv,
e2d94b9a82ae79ac,noun|plural animate|,ᎤᏂᏁᎩᎸᏗ [ugly ones] | ᏧᏁᎩᎸᏗ [ugly ones],ugly ones,,plural animate,,,cn-app-dictionary.csv,
2f1bd9df5431c685,3s|3s|infinitive,"ᎤᏁᏗ [to have a liquid, refers to a liquid]","to have a liquid, refers to a liquid | For him/her/it to drink something liquid (singular)",ᎤᏗᏔᏍᏗ [For him/her/it to drink something liquid (singular)],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,infinitive
bfbec089a816b7f1,noun|plural animate|,ᏧᏌᎨᎢ [thin ones] | ᏗᏌᎨᎢ [thin ones],thin ones,,plural animate,,,cn-app-dictionary.csv,
5017b389f4c2a400,noun|plural animate|,ᎤᏂᏍᏓᎦᏴᎯᏓ [crisp ones] | ᏧᏍᏓᎦᏴᎯᏓ [crisp ones],crisp ones,,plural animate,,,cn-app-dictionary.csv,
712c62c63dd11a61,noun|plural animate|,ᏧᎾᏍᏗ [little] | ᏧᏍᏗ [little],little,,plural animate,,,cn-app-dictionary.csv,
8368f1fd4de64fb8,noun|plural|,ᎤᏂᏍᎦᏃᎵ [slow ones] | ᏧᏍᎦᏃᎵ [slow ones],slow ones,,plural,,,cn-app-dictionary.csv,
3e508d4171e793fc,noun|plural animate|,ᎤᏂᏍᏆᏂᎩᏗ [interesting ones] | ᏧᏍᏆᏂᎩᏗ [interesting ones],interesting ones,,plural animate,,,cn-app-dictionary.csv,
466c80363631b3e9,3s|none|present,"ᎤᏐᏛᎢ [behind a person] | ᏧᎾᏐᏛᎢ [behind them, refers to people]","behind a person | behind them, refers to people",,,none,3s,cn-app-dictionary.csv,present
c184e3e0c33aecf5,noun|plural animate|,"ᏧᎾᏔᎾ [big ones, large ones] | ᏧᏔᎾ [big ones, large ones]","big ones, large ones",,plural animate,,,cn-app-dictionary.csv,
0668f1c715656aab,noun|plural animate|,"ᏧᎾᏔᏂ [too big ones, too large ones] | ᏧᏔᏂ [too big pne, too large ones]","too big ones, too large ones | too big pne, too large ones",,plural animate,,,cn-app-dictionary.csv,
f601e2b55bad87ca,noun|singular|,ᎤᏥᏆᎸᏛᎢ [his/her ankle] | ᏚᏥᏆᎸᏛᎢ [his/her ankles],his/her ankle | his/her ankles,,singular,,,cn-app-dictionary.csv,
75faacf3440a05bd,noun|plural animate|,ᎤᎾᏥᏈᏗ [crooked ones] | ᏧᏥᏈᏗ [crooked ones],crooked ones,,plural animate,,,cn-app-dictionary.csv,
d8a7c7acd4768f49,noun|singular|,"ᎤᏩᏌ [alone, only] | ᎤᏅᏌ [alone, only]","alone, only",,singular,,,cn-app-dictionary.csv,
5f7c6848277ddfaa,noun|plural animate|,ᏧᏃᏕᏫᏓ [damp ones] | ᏧᏬᏕᏫᏓ [damp ones],damp ones,,plural animate,,,cn-app-dictionary.csv,
