corpus_id,definition,h_grade,g_grade,class,post_root_morpheme,root_id,user_edited
856,he/she is passing by without stopping,lo,lo,sk-s-hi-hihst,,lo|lo,
857,he/she is falling from an elevated position,lo,lo,sk-s-hi-hihst,,lo|lo,
850,he/she is overtaking him/her,lohihs,lo'ihs,apl[imp2],,lohihs|lo'ihs,
848,he/she is stopping by (where on the way somewhere),lohihst,lo'ihst,cause,,lohihst|lo'ihst,
845,he/she is hoeing it,lok,lok,i-vka,,lok|lok,
1614,it’s cloudy,lokil,,stative,,lokil|,
853,he/she is oiling it,lon,lon,e-a,,lon|lon,
852,he/she is bluffing him/her,lonahst,lonahst,cause,,lonahst|lonahst,
854,he/she is making him/her fall from an elevated position,lonht,lonht,cause,,lonht|lonht,
855,he/she is cheating,lonu,lonu,apl-active-h,,lonu|lonu,
859,it’s lacking,lulo,lulo,become,,lulo|lulo,
862,he/she is chopping it,luy,luy,sk-h,,luy|luy,
620,he/she is slamming him/her,lvtvnihst,lvtvnihst,cause,,lvtvnihst|lvtvnihst,
735,he/she is working,lvwhihstan,,apl,,lvwhihstan|,
879,he/she is getting it (refers to a flexible object),n,n,rev-e,,n|n,
1629,he/she has an object (refers to a flexible object),n,n,stative-a',,n|n,
1776,he/she is sending it (refers to a flexible object),n,n,vsk-long[imp2],,n|n,
356,it’s lightning,nakal,,ih-vh,,nakal|,
873,he/she is hiring him/her,nalh,nalh,vsk[imp2],,nalh|nalh,
871,he/she is selling it,nat,nat,go-in,,nat|nat,
621,he/she is crossing (refers to a road‚ bridge‚ etc.),natiw,natiw,sk-s-hi-hihst,,natiw|natiw,
876,he/she is finding it (refers to a flexible object),nawhth,nawhth,ih-vh[inf2],,nawhth|nawhth,
877,he/she is taking it somewhere (refers to an animal‚ flexible object),nawit,nawit,ih-vh,,nawit|nawit,
1775,he/she is sending it (refers to something liquid),ne,ne,hvsk-nh,,ne|ne,
884,he/she is getting some liquid,ne,ne,rev-gi,,ne|ne,
1642,he/she has a liquid,ne,ne,stative-h,,ne|ne,
888,he/she is leaving some liquid,neh,ne',a,leaving,neh|ne',
896,it’s hailing,nehsoy,,sk-s-a[inf2],,nehsoy|,
895,it’s freezing,nehstal,nehstal,i-a-i,long,nehstal|nehstal,
883,he/she is peeling him/her,nekal,nekal,ih-vh,,nekal|nekal,
885,he/she is taking liquid from him/her,neki',neki',apl,,neki'|neki',
1459,it’s wrinkled,nekoyu,,stative-s,,nekoyu|,
886,he/she is bewitching him/her,neku,neku,i-a-i,long[no-a],neku|neku,
1639,he/she is being mean,nekuts,,stative,,nekuts|,
893,he/she lives (in sense of resides now),nel,nel,stative,,nel|nel,
33,he/she is changing,netl,netl,v-vhs,change-out,netl|netl,
880,he/she is changing it,netl,netl,v-vhs,change-out,netl|netl,
34,he/she is taking turns with him/her,netliyvhst,netliyvhst,cause,,netliyvhst|netliyvhst,
890,he/she is finding some liquid,newhahth,newahth,ih-vh[inf2],,newhahth|newahth,
891,he/she is taking some liquid somewhere,newhit,newit,ih-vh,,newhit|newit,
815,he/she is handling it (refers to a flexible object),nh,'n,be-at,be-at,nh|'n,
813,he/she is taking it somewhere by hand (refers to a flexible object),nh,'n,go,,nh|'n,
899,he/she is lying down,nh,nv,stative-k,,nh|nv,
1548,he/she is stubbing his/her toe,nhahskwal,,o,,nhahskwal|,
1221,he/she is ascending an incline,nhalu,nalu,sk-s-hi-hihst,,nhalu|nalu,
1544,he/she is becoming angry,nhalv,,become[inf2],,nhalv|,
1545,he/she is angry,nhalv,,stative-s,,nhalv|,
1224,he/she is making him/her angry,nhalvhst,nalvhst,cause,,nhalvhst|nalvhst,
1551,he/she has a chill,nhawahst,,cause,,nhawahst|,
1229,he/she is cold,nhawo,nawo,become,,nhawo|nawo,
1230,he/she is speaking,nhe,ne,become,,nhe|ne,
1234,he/she is mentioning it,nhe'ihst,ne'ihst,cause,,nhe'ihst|ne'ihst,
1232,he/she is accumulating it,nhehkw,nehkw,o,,nhehkw|nehkw,
1233,it’s accumulating,nhehkwo,,become[inf2],,nhehkwo|,
541,he/she is conjuring,nhehs,nehs,e-aka,,nhehs|nehs,
1236,he/she is contaminating it (refers to contaminated by visible foreign matter),nhehsal,nehsal,hvsk-han,,nhehsal|nehsal,
1235,it’s contaminated (refers to contaminated by visible foreign matter),nhehsal,nehsal,stative-h,,nhehsal|nehsal,
1231,he/she is prying it,nhekwat,nekwat,ih-vh,,nhekwat|nekwat,
1241,he/she is collecting from him/her,nhil,nil,hvsk-han,,nhil|nil,
901,he/she is agitating liquid,nhkwa',nhkwa',apl-active,,nhkwa'|nhkwa',
1246,he/she is telling it,nho,no,apl-active-h,,nho|no,
554,he/she is conversing,nho,no,apl-active-h,,nho|no,
631,he/she is singing,nho,no,rev-gi,,nho|no,
1247,he/she is omitting him/her,nhoh,noh,a,leaving,nhoh|noh,
1249,he/she is fanning him/her,nhoy,noy,apl-active,,nhoy|noy,
16,he/she is fanning himself/herself,nhoy,noy,apl-active,,nhoy|noy,
931,he/she is dragging him/her,nhs,nahs,go,in,nhs|nahs,
929,he/she is pulling him/her,nhsan,nahsan,rev-e,,nhsan|nahsan,
43,he/she is crawling,nhsin,nahsin,go[pres2],,nhsin|nahsin,
904,he/she is handling some liquid,nhts,nvts,be-at,be-at,nhts|nvts,
902,he/she is taking a liquid somewhere by hand,nhts,nvts,go,,nhts|nvts,
903,he/she is holding some liquid,nhts,nvts,stative-eh,,nhts|nvts,
632,he/she is clawing him/her,nhuko,nuko,sk-s-la,,nhuko|nuko,
1254,he/she is straining it,nhvhsolvhst,nvhsolvhst,cause,,nhvhsolvhst|nvhsolvhst,
1256,he/she is curing him/her,nhvw,nvw,i-vka,,nhvw|nvw,
909,he/she hates him/her,nikwat,nikwat,hih-hilh,,nikwat|nikwat,
913,he/she is pleading,nilat,nilat,i-a-i,,nilat|nilat,
910,he/she is setting up a bed,nilh,nilh,i-a-i,long,nilh|nilh,
918,he/she is hunting,nohal,no'al,be-at,be-at,nohal|no'al,
925,he/she is stealing it,nohs,nohs,rev-gi,,nohs|nohs,
921,it’s flooding,nohuk,,i-vka,,nohuk|,
924,it is blowing (refers to wind),nol,,vsk-long,,nol|,
622,he/she is advertising it,notsal,notsal,hvsk-han,,notsal|notsal,
928,he/she is sinking,noyv,noyv,become[inf2],,noyv|noyv,
932,he/she is exiting,nu,nu,ko-kots,,nu|nu,
44,it’s twisting,nuthey,nuthey,oh-ol,,nuthey|nuthey,
937,he/she is twisting him/her,nuthey,nuthey,oh-ol[inf3],,nuthey|nuthey,
940,he/she is falling from an upright position,nv,nv,become[inf2],,nv|nv,
938,he/she is missing him/her (refers to as a target),nv,nv,i-a-i,long[no-a],nv|nv,
941,he/she is cleaning him/her,nvkal,nvkal,ih-vh,,nvkal|nvkal,
942,he/she is hammering it,nvkwal,nvkwal,o,,nvkwal|nvkwal,
946,he/she is tying up a leg,nvlho,nvlho,hih-lh,,nvlho|nvlho,
950,he/she is giving him/her an object (refers to a flexible object),nvn,nvn,apl,,nvn|nvn,
543,he/she is dodging,nvtihst,nvtihst,cause,,nvtihst|nvtihst,
949,he/she is tossing about,nvts,nvts,be-at,be-at,nvts|nvts,
1014,he/she is leading him/her by the hand,oh,o',go,in,oh|o',
1015,he/she is agreeing with him/her,ohiyhtan,o'iyhtan,apl,,ohiyhtan|o'iyhtan,
1729,he/she is confident,ohiyu,,stative-s,,ohiyu|,
1024,it’s falling (refers to a round‚ long object),oho,o'o,sk-s-hi-hihst,,oho|o'o,
1023,he/she is making it fall (refers to a round‚ long object),ohonht,o'onht,cause,,ohonht|o'onht,
1040,he/she is saying to him/her,ohs,ohs,apl[imp2],,ohs|ohs,
625,he/she is explaining it (refers to a Biblical text),ohs,ohs,cause[perf2],iterative,ohs|ohs,
1038,he/she is batting it,ohst,ohst,ih-il,hitting[il],ohst|ohst,
1730,he/she is sitting,ol,,stative-h,,ol|,
1022,he/she is making it,olh,olh,vnh-vsk[inf3],,olh|olh,
1017,he/she is recognizing him/her,olh,oli,become[inf4],,olh|oli,
1018,he/she understands it,olh,oli,become[inf4],,olh|oli,
1021,he/she is getting full,olhv,olv,sk-s-hi-hihst,,olhv|olv,
1043,he/she is building a fire,ot,ot,hvsk-han,,ot|ot,
1041,it’s swelling,othi,othi,sk-s-hi-hihst,,othi|othi,
1030,he/she is pulling a trigger,otsan,otsan,rev-e,,otsan|otsan,
1027,he/she is writing it,owhel,owel,i-vka,,owhel|owel,
59,he/she is giving him/her it (refers to a long object),t,t,apl[imp3],,t|t,
464,he/she is mooring a boat,thal,thal,i-a-i,long,thal|thal,
1684,he/she is becoming enraged,thalhawo,,sk-s-hi-hihst,,thalhawo|,
467,it’s steaming,thanol,,go,,thanol|,
1683,he/she is thirsty,thatek,,i-vka,,thatek|,
472,he/she is kissing him/her,thaweto,taweto,vsk-post-v,,thaweto|taweto,
474,he/she is asking for it,thayo,thayo,hih-lh[imp2],,thayo|thayo,
477,he/she is shaking him/her,thel,thel,episodic[imp2],,thel|thel,
488,it’s flashing (refers to reflected light),thoyaw,,sk-s-a[inf2],,thoyaw|,
493,he/she is promising,thu'ihst,thu'ihst,cause,,thu'ihst|thu'ihst,
80,he/she is leaving it behind (refers to a long object),tihs,tihs,a,leaving,tihs|tihs,
95,he/she is drawing a liquid out of a container,tl,tl,ih-vh[inf2],,tl|tl,
94,it’s pouring into a container (refers to liquid),tli,,become[inf3],,tli|,
96,he/she is pouring a liquid into a container,tlihst,tlihst,cause,,tlihst|tlihst,
772,he/she is standing,to,to,stative-k,,to|to,
253,he/she is lighting a fire,tsihsl,tsihsl,hvsk-han[inf2],,tsihsl|tsihsl,
250,it’s blooming,tsil,,vnh-vsk,,tsil|,
255,he/she is turning on a light,tsvhst,tsvhst,hvsk-han[inf2],,tsvhst|tsvhst,
1056,he/she is putting it in water,u,u,hvsk-nh,,u|u,
1505,he/she is standing in liquid,u,u,stative-s,,u|u,
1052,he/she is washing it,uh,u',o,repetitive,uh|u',
1050,he/she is putting a handle on a tool,uhal,u'al,hvsk-han,,uhal|u'al,
1053,he/she is accusing him/her,uhihst,u'ihst,cause,,uhihst|u'ihst,
626,he/she is deciding,ukht,ukot,cause,,ukht|ukot,
1055,he/she is covering it,ulh,ulh,vsk[imp2],,ulh|ulh,
1044,he/she is unhitching him/her,utal,utal,rev-e,,utal|utal,
1045,he/she is hitching him/her up,utal,utal,vsk[imp2],,utal|utal,
1061,it’s snowing,uth,uth,cause[perf2],,uth|uth,
1060,he/she is picking him/her up,uth,uth,rev-e,,uth|uth,
1083,he/she is hiding it,vhskal,vhskal,hvsk-han,,vhskal|vhskal,
79,he/she is hiding,vhskal,vhskal,hvsk-han,,vhskal|vhskal,
1084,he/she is hiding it (refers to a long object),vhskal,vhskal,i-a-i,long,vhskal|vhskal,
1480,he/she is in hiding,vhskal,vhskal,stative-h,,vhskal|vhskal,
1085,he/she is hiding him/her (refers to a flexible object),vhskal,vhskal,vsk[imp2],,vhskal|vhskal,
1086,he/she is cracking it,vhskwal,vhskwal,o,,vhskwal|vhskwal,
1698,he/she is forgetting it,vkhew,,sk-s-a,,vkhew|,
1064,it’s leaking,vku,,sk-s-hst,,vku|,
1063,he/she is sifting it,vkuhst,vkuhst,cause,,vkuhst|vkuhst,
1082,it’s becoming done (refers to by cooking),vn,vn,sk-s-hi-hihst,,vn|vn,
1067,he/she is alive,vn,vn,stative-h,,vn|vn,
1078,he/she is melting it,vnawht,vnawot,cause,,vnawht|vnawot,
1079,it’s melting,vnawo,vnawo,sk-s-hi-hihst,,vnawo|vnawo,
107,he/she is acting silly,vnel,vnel,vnh-ih-a,,vnel|vnel,
1071,he/she is cooking it (refers to a specific food),vnhihst,vnihst,cause,,vnhihst|vnihst,
1309,he/she is putting it on,vnht,vnht,cause,,vnht|vnht,
1308,he/she is taking it off,vnht,vnht,rev-e,,vnht|vnht,
1323,he/she has something on (refers to objects),vnht,vnht,stative,,vnht|vnht,
1081,he/she is sweeping it,vnohsa,vnohsa,sk-h[imp2],,vnohsa|vnohsa,
1087,he/she is putting it into a fire,vt,vt,hvsk-han,,vt|vt,
628,he/she is shelling (refers to peas‚ nut meats‚ etc),vthoh,vthoh,rev-i,,vthoh|vthoh,
627,he/she is washing (refers to dishes),vtiy,vtiy,e-a,,vtiy|vtiy,
1076,he/she is frying it,vtsal,vtsal,hvsk-han,,vtsal|vtsal,
1088,he/she is soaking it (refers to a flexible object),vwal,vwal,hvsk-han,,vwal|vwal,
1709,he/she has an object (refers to a long object),vy,,stative,,vy|,
54,he/she is resting,wehsolvhst,wehsolvhst,cause,,wehsolvhst|wehsolvhst,
1561,he/she is buying it,wha,,sk-s-hi-hihst,,wha|,
207,he/she is finding him/her,whahth,wahth,ih-vh[inf2],,whahth|wahth,
18,he/she is visiting,whahthvh,wahthvh,be-at,be-at,whahthvh|wahthvh,
208,he/she is visiting him/her,whahthvh,wahthvh,be-at,be-at,whahthvh|wahthvh,
210,he/she is planting it,whi,wi,sk-s-hst,,whi|wi,
983,he/she is speaking,won,won,ih-ihi,,won|won,
981,he/she is lecturing him/her,wonht,wonht,cause,,wonht|wonht,
513,he/she is getting it (refers to a long object),y,y,ih-vh,,y|y,
1563,he/she is looking for it,y,y,oh-al,,y|y,
222,he/she is looking for him/her,y,y,oh-al,,y|y,
502,he/she is inside,y,y,stative-a',,y|y,
739,he/she is tired,yawe,,become,,yawe|,
507,he/she is waking up,ye,ye,become[inf2],,ye|ye,
509,he/she is waking him/her up,ye'ihst,ye'ihst,cause,,ye'ihst|ye'ihst,
322,he/she is putting a ring on his/her finger,yehsuhst,yehsuhst,hvsk-han[inf2],,yehsuhst|yehsuhst,
320,he/she is taking his/her ring off,yehsuhsth,yehsuhsth,rev-gi,,yehsuhsth|yehsuhsth,
1613,he/she is wearing a ring,yehsuhsth,yehsuhsth,stative-k,,yehsuhsth|yehsuhsth,
590,he/she is putting on his/her gloves,yehsul,yehsul,i-vka,,yehsul|yehsul,
589,he/she is taking off his/her gloves,yehsul,yehsul,rev-e,,yehsul|yehsul,
216,he/she is taking it somewhere by hand,yh,y,go,,yh|y,
19,he/she is stretching,yhahst,yahst,cause,,yhahst|yahst,
215,he/she is calling him/her,yhan,yan,ih-vh,,yhan|yan,
218,he/she is quilting it,yhehkal,yehkal,hvsk-han,,yhehkal|yehkal,
220,he/she is imitating him/her,yhel,yel,i-a-i[perf2],,yhel|yel,
219,he/she is making an incision,yhel,yel,oh-al[imp2],,yhel|yel,
511,he/she is putting him/her inside (refers to somewhere large enough to move around in),yht,yvt,cause,,yht|yvt,
175,it’s bending,yhvhkwit,yvhkwit,vsk,,yhvhkwit|yvhkwit,
228,he/she is bending it,yhvhkwit,yvhkwit,vsk[imp2],,yhvhkwit|yvhkwit,
233,he/she is hitting him/her on the nose,yhvhs,yvhs,hvsk-nh,hit-on[t],yhvhs|yvhs,
176,he/she is snorting,yhvhsanawhst,yvhsanawhst,cause,,yhvhsanawhst|yvhsanawhst,
234,he/she is choking him/her,yhvhskiy,yvhskiy,ih-vh,,yhvhskiy|yvhskiy,
1572,he/she is getting drunk,yhvhst,,e-aka,,yhvhst|,
727,he/she is sneezing,yhvhstoy,,sk-h,,yhvhstoy|,
562,he/she is tickling him/her,yhvk,yvk,i-a-i,,yhvk|yvk,
232,he/she is capturing him/her,yhvkhi,yvkhi,i-a-i,long[no-a],yhvkhi|yvkhi,
224,it’s thundering,yhvtakwal,,o,,yhvtakwal|,
1569,it is cold (refers to weather),yhvtl,,stative,,yhvtl|,
515,it’s breaking,yo,yo,become[inf3],,yo|yo-break,x
516,he/she is shooting him/her,yo,yo,hih-lh[imp2],,yo|yo-shoot,x
545,he/she is giving up,yo,yo,sk-s-hi-hihst,,yo|yo,
618,he/she is releasing him/her,yo,yo,sk-s-hi-hihst,,yo|yo,
740,he/she is releasing it (refers to voluntarily releasing),yo,yo,sk-s-hi-hihst,,yo|yo,
524,he/she is breaking it,yohst,yohst,cause,,yohst|yohst,
526,he/she is destroying it,yohsthan,yohsthan,terminative,,yohsthan|yohsthan,
1741,he/she is losing it,yohuhs,,apl[imp2],,yohuhs|,
519,he/she is whittling it,yol,yol,hvsk-han[inf2],,yol|yol,
523,he/she is greeting him/her,yol,yol,ih-il,,yol|yol,
529,he/she is entering it,yv,yv,hih-lh[imp2],,yv|yv,
1470,it’s in view,yvlat,,stative-h,,yvlat|,
530,he/she is finding it (refers to a long object),yvwhahth,yvwahth,ih-vh[inf2],,yvwhahth|yvwahth,
531,he/she is taking it somewhere (refers to a long object),yvwhit,yvwit,ih-vh,,yvwhit|yvwit,
